book,chapter,paragraph,scene,line,page,speaker,addressee,person,org,place,language,aloud,format,words
1,1,1,3,1,13,#Mycroft,#reader,#reader,NA,NA,en-en,FALSE,novel,156
1,1,2,3,1,13,#Mycroft,#reader,#reader,NA,NA,en-en,FALSE,novel,155
1,1,2,3,1,13,#Mycroft,#reader,#Mycroft,NA,NA,en-en,FALSE,novel,155
1,2,4,7,1,14,#Thisbe,#Carlyle,NA,NA,NA,en-en,TRUE,novel,3
1,2,5,7,1,14,#Carlyle,#Thisbe,#Carlyle,NA,NA,en-en,TRUE,novel,2
1,2,6,7,1,14,#Thisbe,#Carlyle,NA,NA,NA,en-en,TRUE,novel,1
1,2,7,7,1,14,#Carlyle,#Thisbe,#Carlyle,NA,NA,en-en,TRUE,novel,10
1,2,8,7,1,14,#Thisbe,#Carlyle,NA,NA,NA,en-en,TRUE,novel,3
1,2,8,7,2,14,#Thisbe,#Carlyle,NA,NA,NA,en-en,TRUE,novel,11
1,2,9,7,1,14,#Carlyle,#Thisbe,NA,NA,NA,en-en,TRUE,novel,5
1,2,10,7,1,14,#Thisbe,#Carlyle,NA,NA,NA,en-en,TRUE,novel,5
1,2,11,7,1,15,#Carlyle,#Thisbe,NA,NA,NA,en-en,TRUE,novel,13
1,2,12,7,1,15,#Thisbe,#Carlyle,NA,NA,NA,en-en,TRUE,novel,4
1,2,12,7,2,15,#Thisbe,#Unknown-Soldier,NA,NA,NA,en-en,TRUE,novel,5
1,2,13,7,1,15,#Carlyle,#Thisbe,NA,NA,NA,en-en,TRUE,novel,6
1,2,14,7,1,15,#Thisbe,#Carlyle,NA,NA,NA,en-en,TRUE,novel,2
1,2,16,7,1,15,#Carlyle,#Thisbe,NA,NA,NA,en-en,TRUE,novel,4
1,2,17,7,1,15,#Thisbe,#Carlyle,NA,NA,NA,en-en,TRUE,novel,6
1,2,19,7,1,15,#Major,#Pointer,#Pointer,NA,NA,en-en,TRUE,novel,8
1,2,20,7,1,15,#Unknown-Soldier,#Major,#Major,NA,NA,en-en,TRUE,novel,3
1,2,21,7,1,15,#Unknown-Soldier,#Unknown,NA,NA,NA,en-en,TRUE,novel,2
1,2,24,10,1,15,#Mycroft,#reader,#reader,NA,NA,en-en,FALSE,novel,129
