book,chapter,scene,paragraph,line,page,speaker,addressee,person,org,place,language,aloud,format,words
1,1,3,1,1,13,#Mycroft,#reader,#reader,NA,NA,en-en,FALSE,novel,156
1,1,3,2,1,13,#Mycroft,#reader,#reader,NA,NA,en-en,FALSE,novel,155
1,1,3,2,1,13,#Mycroft,#reader,#Mycroft,NA,NA,en-en,FALSE,novel,155
1,2,7,4,1,14,#Thisbe,#Carlyle,NA,NA,NA,en-en,TRUE,novel,3
1,2,7,5,1,14,#Carlyle,#Thisbe,#Carlyle,NA,NA,en-en,TRUE,novel,2
1,2,7,6,1,14,#Thisbe,#Carlyle,NA,NA,NA,en-en,TRUE,novel,1
1,2,7,7,1,14,#Carlyle,#Thisbe,#Carlyle,NA,NA,en-en,TRUE,novel,10
1,2,7,8,1,14,#Thisbe,#Carlyle,NA,NA,NA,en-en,TRUE,novel,3
1,2,7,8,2,14,#Thisbe,#Carlyle,NA,NA,NA,en-en,TRUE,novel,11
1,2,7,9,1,14,#Carlyle,#Thisbe,NA,NA,NA,en-en,TRUE,novel,5
1,2,7,10,1,14,#Thisbe,#Carlyle,NA,NA,NA,en-en,TRUE,novel,5
1,2,7,11,1,15,#Carlyle,#Thisbe,NA,NA,NA,en-en,TRUE,novel,13
1,2,7,12,1,15,#Thisbe,#Carlyle,NA,NA,NA,en-en,TRUE,novel,4
1,2,7,12,2,15,#Thisbe,#Unknown-Soldier,NA,NA,NA,en-en,TRUE,novel,5
1,2,7,13,1,15,#Carlyle,#Thisbe,NA,NA,NA,en-en,TRUE,novel,6
1,2,7,14,1,15,#Thisbe,#Carlyle,NA,NA,NA,en-en,TRUE,novel,2
1,2,7,16,1,15,#Carlyle,#Thisbe,NA,NA,NA,en-en,TRUE,novel,4
1,2,7,17,1,15,#Thisbe,#Carlyle,NA,NA,NA,en-en,TRUE,novel,6
1,2,7,19,1,15,#Major,#Pointer,#Pointer,NA,NA,en-en,TRUE,novel,8
1,2,7,20,1,15,#Unknown-Soldier,#Major,#Major,NA,NA,en-en,TRUE,novel,3
1,2,7,21,1,15,#Unknown-Soldier,#Unknown,NA,NA,NA,en-en,TRUE,novel,2
1,2,10,24,1,15,#Mycroft,#reader,#reader,NA,NA,en-en,FALSE,novel,129
1,2,10,24,1,15,#Mycroft,#reader,#Carlyle,NA,NA,en-en,FALSE,novel,129
1,2,10,24,1,15,#Mycroft,#reader,#Bridger,NA,NA,en-en,FALSE,novel,129
1,2,10,25,1,16,#Mycroft,#reader,#Bridger,NA,#Europe,en-en,FALSE,novel,80
1,2,10,25,1,16,#Mycroft,#reader,#Voltaire,NA,#Europe,en-en,FALSE,novel,80
1,2,10,25,1,16,#Mycroft,#reader,#reader,NA,#Europe,en-en,FALSE,novel,80
1,2,10,25,1,16,#Mycroft,#reader,#Thisbe,NA,#Europe,en-en,FALSE,novel,80
1,2,10,26,1,16,#Thisbe,#Bridger,NA,NA,NA,en-en,TRUE,novel,1
1,2,10,26,1,16,#Thisbe,#Major,NA,NA,NA,en-en,TRUE,novel,1
1,2,10,26,2,16,#Thisbe,#Bridger,#Bridger,NA,NA,en-en,TRUE,novel,4
1,2,10,27,1,16,#Major,#Bridger,NA,NA,NA,en-en,TRUE,novel,14
1,2,10,29,1,16,#reader,#Mycroft,#Mycroft,NA,NA,en-ar,FALSE,novel,4
1,2,10,29,2,16,#reader,#Mycroft,NA,NA,NA,en-ar,FALSE,novel,30
1,2,10,29,3,16,#Mycroft,#reader,#reader,NA,NA,en-en,FALSE,novel,109
1,2,10,29,3,16,#Mycroft,#reader,#Bridger,NA,NA,en-en,FALSE,novel,109
1,2,11,30,1,17,#Major,#Mycroft,#Mycroft,NA,NA,en-en,TRUE,novel,1
1,2,11,30,1,17,#Thisbe,#Mycroft,#Mycroft,NA,NA,en-en,TRUE,novel,1
1,2,11,30,1,17,#Bridger,#Mycroft,#Mycroft,NA,NA,en-en,TRUE,novel,1
1,2,12,31,1,17,#Mycroft,#Major,NA,NA,NA,en-en,TRUE,novel,2
1,2,12,31,1,17,#Mycroft,#Thisbe,NA,NA,NA,en-en,TRUE,novel,2
1,2,12,31,1,17,#Mycroft,#Bridger,NA,NA,NA,en-en,TRUE,novel,2
1,2,12,32,1,17,#Thisbe,#Mycroft,NA,NA,NA,en-en,TRUE,novel,4
1,2,13,32,2,17,#Thisbe,#Mycroft,#Bridger,NA,NA,en-en,TRUE,novel,20
1,2,13,32,2,17,#Thisbe,#Mycroft,#Mycroft,NA,NA,en-en,TRUE,novel,20
1,2,13,32,3,17,#Thisbe,#Ockham,NA,NA,NA,sp-hu,TRUE,novel,4
1,2,13,32,4,17,#Thisbe,#Ockham,NA,NA,NA,sp-hu,TRUE,novel,30
1,2,13,33,1,17,#Mycroft,#Carlyle,NA,NA,NA,en-en,TRUE,novel,56
1,2,14,34,1,17,#Thisbe,#Mycroft,#Mycroft,NA,NA,en-en,TRUE,novel,3
1,2,14,34,2,17,#Thisbe,#Mycroft,NA,NA,NA,en-en,TRUE,novel,16
1,2,14,35,1,17,#Mycroft,#Thisbe,NA,NA,NA,en-en,TRUE,novel,1
1,2,14,35,2,17,#Mycroft,#Thisbe,#Thisbe,NA,NA,en-en,TRUE,novel,5
1,2,14,36,1,17,#Thisbe,#Mycroft,#Ockham,NA,NA,en-en,TRUE,novel,17
1,2,14,37,1,17,#Mycroft,#Thisbe,#Thisbe,NA,NA,en-en,TRUE,novel,28
1,2,14,38,1,17,#Mycroft,#reader,#reader,#Alliance,NA,en-en,FALSE,novel,337
1,2,14,38,1,17,#Mycroft,#reader,#McKay,#Alliance,NA,en-en,FALSE,novel,337
1,2,14,39,1,18,#Major,#Thisbe,#Mycroft,NA,NA,en-en,TRUE,novel,2
1,2,14,39,2,18,#Major,#Thisbe,#Bridger,NA,NA,en-en,TRUE,novel,25
1,2,14,39,2,18,#Major,#Thisbe,#Thisbe,NA,NA,en-en,TRUE,novel,25
1,2,14,41,1,18,#Unknown-Soldier,#Unknown-Soldier,#Major,NA,NA,en-en,TRUE,novel,3
1,2,14,42,1,18,#Unknown-Soldier,#Unknown-Soldier,NA,NA,NA,en-en,TRUE,novel,10
1,2,14,43,1,18,#Unknown-Soldier,#Unknown-Soldier,NA,NA,NA,en-en,TRUE,novel,2
1,2,14,44,1,18,#Mycroft,#Carlyle,#Thisbe,NA,NA,en-en,TRUE,novel,10
1,2,14,45,1,18,#Mycroft,#reader,#Carlyle,NA,NA,en-en,FALSE,novel,117
1,2,14,46,1,19,#Carlyle,#Mycroft,NA,NA,NA,en-en,TRUE,novel,1
1,2,14,48,1,19,#Major,#Carlyle,NA,NA,NA,en-en,TRUE,novel,4
1,2,14,49,1,19,#Carlyle,#Major,#Carlyle,NA,NA,en-en,TRUE,novel,2
1,2,14,50,1,19,#Major,#Carlyle,NA,NA,NA,en-en,TRUE,novel,3
1,2,14,50,2,19,#Major,#Carlyle,#Major,NA,NA,en-en,TRUE,novel,27
1,2,14,50,2,19,#Major,#Carlyle,#Aimer,NA,NA,en-en,TRUE,novel,27
1,2,14,50,2,19,#Major,#Carlyle,#Looker,NA,NA,en-en,TRUE,novel,27
1,2,14,50,2,19,#Major,#Carlyle,#Crawler,NA,NA,en-en,TRUE,novel,27
1,2,14,50,2,19,#Major,#Carlyle,#Medic,NA,NA,en-en,TRUE,novel,27
1,2,14,50,2,19,#Major,#Carlyle,#StanderY,NA,NA,en-en,TRUE,novel,27
1,2,14,50,2,19,#Major,#Carlyle,#StanderG,NA,NA,en-en,TRUE,novel,27
1,2,14,50,2,19,#Major,#Carlyle,#Croucher,NA,NA,en-en,TRUE,novel,27
1,2,14,50,2,19,#Major,#Carlyle,#Nogun,NA,NA,en-en,TRUE,novel,27
1,2,14,50,2,19,#Major,#Carlyle,#Nostand,NA,NA,en-en,TRUE,novel,27
1,2,14,50,2,19,#Major,#Carlyle,#Pointer,NA,NA,en-en,TRUE,novel,27
1,2,14,51,1,19,#Carlyle,#Major,NA,NA,NA,en-en,TRUE,novel,1
1,2,14,52,1,19,#Major,#Carlyle,#Bridger,NA,NA,en-en,TRUE,novel,46
1,2,14,52,1,19,#Major,#Carlyle,#Pointer,NA,NA,en-en,TRUE,novel,46
1,2,14,54,1,19,#Carlyle,#Major,NA,NA,NA,en-en,TRUE,novel,6
1,2,14,55,1,19,#Major,#Carlyle,NA,NA,NA,en-en,TRUE,novel,5
1,2,14,55,2,19,#Major,#Carlyle,#Bridger,NA,NA,en-en,TRUE,novel,25
1,2,14,55,2,19,#Major,#Carlyle,#Thisbe,NA,NA,en-en,TRUE,novel,25
1,2,14,56,1,19,#Carlyle,#Major,NA,NA,NA,en-en,TRUE,novel,2
1,2,14,57,1,19,#Major,#Mycroft,#Mycroft,NA,NA,en-en,TRUE,novel,1
1,2,14,57,2,19,#Major,#Mycroft,#Carlyle,NA,NA,en-en,TRUE,novel,11
1,2,14,59,1,20,#Major,#Carlyle,NA,NA,NA,en-en,TRUE,novel,4
